Time From Event,Light Counts
-37.37649299,9554.386
-33.28044298,9535.357
-29.18439297,9596.816
-25.08834298,9491.273
-20.99229299,9505.563
-16.89624299,9545.454
-12.80019298,9608.711
-8.704142973,9687.101
-4.608086988,9806.896
-1.278176993,9879.739
0.769848004,14170.348
2.048000991,15784.314
3.072013989,16160.612
4.096025988,15900.1045
5.120037988,15469.954
6.144050986,15150.036
7.168063983,13703.58
8.192075998,13092.756
9.216088012,12587.654
10.24010001,12300.237
11.26411301,12150.666
12.28812601,12161.632
13.31213801,12259.469
14.33615001,11688.39
15.360163,11878.717
16.384176,11989.141
17.408188,12233.946
18.4322,12389.095
19.456213,12510.3955
20.480226,12640.179
21.50423799,12334.125
22.52824999,13266.944
23.55226299,13181.995
24.57627599,13053.3
25.60028799,12640.708
26.62429999,12095.771
27.64831199,11932.531
28.67232499,12479.943
29.696338,12423.639
30.72035001,12080.244
31.74436201,11994.988
32.76837501,11937.1455
33.79238801,11698.643
34.81640001,11571.396
35.84041201,11772.504
36.86442401,11778.249
37.88844301,11954.78
38.91246301,11358.918
39.93647501,11275.267
40.96048601,11230.102
41.98449901,11345.262
43.00851201,11376.816
44.032524,11127.059
45.056536,11729.437
46.080549,11048.553
47.104562,11674.085
48.128574,11422.916
49.152586,10779.484
50.17659801,10122.539
51.20061103,10086.368
52.22462402,9911.798
53.24863602,10086.664
54.27264802,9949.738
55.29666002,10104.305
56.32067302,10890.708
57.34468602,11029.797
58.36869802,11344.564
59.39271002,10877.297
60.41672301,10247.123
61.44073601,10121.729
62.46474801,11092.941
63.48876001,11268.189
64.51277201,10515.589
65.53678501,10335.571
66.560798,9907.842
67.58481,10225.034
68.608822,10441.607
69.632834,10223.695
70.656846,9704.044
71.68085901,9943.899
72.70487203,9789.165
73.72888403,9708.762
74.75289603,9839.591
75.77690803,9607.109
76.80092102,9623.479
77.82493402,9773.798
78.84894602,9803.019
79.87295802,9461.375
80.89697701,9390.661
81.920996,9597.3545
82.94500801,10111.018
83.96902002,9984.666
84.99303201,10162.953
86.01704499,9911.057
87.04105799,9947.232
88.06507,9683.364
89.089082,9594.847
90.11309399,9569.386
91.13710599,9599.172
92.161119,9606.052
93.18513201,9550.023
94.20914401,9665.693
95.23315601,9737.1875
96.25716801,9427.476
97.28118101,9562.721
98.30519401,9421.596
99.329206,9817.98
100.353218,9577.328
101.37723,9540.675
102.401242,9434.996
103.425255,9570.245
104.449268,9599.838
105.47328,9601.491
106.497292,9590.193
107.521304,9548.151
108.545316,9548.068
109.569329,9502.521
110.593342,9522.481
111.617354,9453.854
112.641366,9482.132
113.665378,9466.538
114.68939,9573.842
115.713403,9470.955
116.737416,9688.56
117.761428,9543.117
118.78544,9464.181
119.809452,9576.91
120.833464,9497.408
121.857477,9538.016
122.881496,9445.173
123.905514,9503.828
124.929526,9463.694
125.953538,9467.51
126.977551,9606.663
128.001564,9547.355
129.025576,9569.389
130.049588,9414.835
131.0736,9555.426
132.097613,9347.194
133.121625,9548.81
134.145637,9489.705
135.16965,9362.57
136.193662,9529.609
137.217674,9378.978
138.241686,9453.847
139.265698,9577.032
140.289711,9420.02
141.313725,9534.565
142.337737,9541.252
143.361748,9508.804